slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
joelhooks-swarm-tools,claudemarketplaces,plugins,L1,0.9572,0.0012,0.0002,0.0030,0.0987,6237,False
ast-grep-agent-skill,claudemarketplaces,plugins,L1,0.9950,0.0005,0.0001,0.0002,0.0158,7452,False
jasonkneen-kiro,claudemarketplaces,plugins,L0,0.9992,0.0011,0.0008,0.0003,0.0011,8192,False
jetbrains-go-modern-guidelines,claudemarketplaces,plugins,L0,0.9980,0.0007,0.0005,0.0006,0.0010,3716,False
23blocks-os-ai-maestro,claudemarketplaces,plugins,L3,0.9963,0.0162,0.9939,0.0069,0.8877,8192,False
fcakyon-claude-codex-settings,claudemarketplaces,plugins,L1,0.9971,0.0004,0.0002,0.0006,0.0214,8192,False
schpet-linear-cli,claudemarketplaces,plugins,L1,0.9969,0.0003,0.0000,0.0058,0.0062,8192,False
gmickel-flow-next,claudemarketplaces,plugins,L1,0.9957,0.0002,0.0003,0.0004,0.0197,4682,False
kalil0321-reverse-api-engineer,claudemarketplaces,plugins,L2,0.9982,0.0025,0.0062,0.0287,0.8602,8192,False
laravel-agent-skills,claudemarketplaces,plugins,L0,0.9946,0.0005,0.0002,0.0007,0.0015,2534,False
mhattingpete-claude-skills-marketplace,claudemarketplaces,plugins,L2,0.9963,0.0018,0.0177,0.0097,0.4660,8192,False
kingbootoshi-cartographer,claudemarketplaces,plugins,L1,0.9981,0.0003,0.0003,0.0008,0.0178,2178,False
fradser-dotclaude,claudemarketplaces,plugins,L1,0.9993,0.0002,0.0002,0.0002,0.0118,3968,False
hashicorp-agent-skills,claudemarketplaces,plugins,L1,0.6286,0.0002,0.0002,0.0005,0.0007,2131,False
zscole-adversarial-spec,claudemarketplaces,plugins,L1,0.9971,0.0004,0.0003,0.0008,0.0193,8192,False
a5c-ai-babysitter,claudemarketplaces,plugins,L1,0.9938,0.0001,0.0002,0.0003,0.0052,8192,False
getsentry-skills,claudemarketplaces,plugins,L1,0.9723,0.0002,0.0004,0.0008,0.0037,8192,False
browserbase-skills,claudemarketplaces,plugins,L1,0.9937,0.0001,0.0001,0.0015,0.0572,3634,False
jshchnz-claude-code-scheduler,claudemarketplaces,plugins,L2,0.6416,0.0084,0.0078,0.0019,0.0277,7921,False
chujianyun-skills,claudemarketplaces,plugins,L1,0.8920,0.0008,0.0024,0.0003,0.0258,4681,False
tokenrollai-llmdoc,claudemarketplaces,plugins,L1,0.9984,0.0002,0.0001,0.0005,0.0157,8192,False
wondelai-skills,claudemarketplaces,plugins,L1,0.9962,0.0002,0.0013,0.0006,0.1508,8192,False
chachamaru127-claude-code-harness,claudemarketplaces,plugins,L1,0.9759,0.0006,0.0009,0.0007,0.0434,8192,False
aitytech-agentkits-marketing,claudemarketplaces,plugins,L1,0.9979,0.0002,0.0004,0.0004,0.0033,8192,False
quant-sentiment-ai-claude-equity-research,claudemarketplaces,plugins,L1,0.9960,0.0006,0.0009,0.0006,0.8907,8192,False
mutable-state-inc-ensue-skill,claudemarketplaces,plugins,L1,0.9998,0.0002,0.0001,0.0002,0.3811,2451,False
nhevers-moltbrain,claudemarketplaces,plugins,L1,0.9871,0.0002,0.0003,0.0011,0.0090,8192,False
speakeasy-api-speakeasy,claudemarketplaces,plugins,L0,0.9026,0.0002,0.0011,0.0009,0.0020,8192,False
project-codeguard-rules,claudemarketplaces,plugins,L0,0.9990,0.0051,0.0048,0.0028,0.0043,635,False
jfernandez-mdserve,claudemarketplaces,plugins,L2,0.6610,0.0033,0.5796,0.0033,0.7194,5530,False
freee-freee-mcp,claudemarketplaces,plugins,L1,0.9892,0.0004,0.0004,0.0019,0.0241,8192,False
cloudshipai-station,claudemarketplaces,plugins,L3,0.9982,0.0149,0.9932,0.0103,0.9280,8192,False
humania-org-humanize,claudemarketplaces,plugins,L1,0.9529,0.0003,0.0008,0.0006,0.0202,3268,False
piebald-ai-claude-code-lsps,claudemarketplaces,plugins,L2,0.9849,0.0044,0.0168,0.0015,0.6653,8192,False
mintlify-docs,claudemarketplaces,plugins,L0,0.9397,0.0007,0.0003,0.0005,0.0030,325,False
mckinsey-agents-at-scale-ark,claudemarketplaces,plugins,L1,0.9767,0.0007,0.0005,0.0004,0.0131,5344,False
jarrodwatts-claude-stt,claudemarketplaces,plugins,L1,0.9941,0.0002,0.0005,0.0006,0.0069,6128,False
dbt-labs-dbt-agent-skills,claudemarketplaces,plugins,L1,0.9926,0.0002,0.0007,0.0015,0.0094,5981,False
lijigang-ljg-skill-xray-book,claudemarketplaces,plugins,L1,0.9967,0.0004,0.0007,0.0004,0.2092,690,False
sinotrade-shioaji,claudemarketplaces,plugins,L2,0.6965,0.0017,0.0031,0.0333,0.0453,6493,False
humanplane-homunculus,claudemarketplaces,plugins,L2,0.9233,0.0020,0.0116,0.0067,0.0822,7948,False
memvid-claude-brain,claudemarketplaces,plugins,L1,0.9894,0.0003,0.0002,0.0020,0.1025,3756,False
levnikolaevich-claude-code-skills,claudemarketplaces,plugins,L1,0.9954,0.0011,0.0021,0.0012,0.3799,8192,False
obra-episodic-memory,claudemarketplaces,plugins,L1,0.9866,0.0002,0.0006,0.0019,0.0245,8192,False
trailofbits-skills-curated,claudemarketplaces,plugins,L0,0.9982,0.0021,0.0182,0.0015,0.0137,7109,False
ooiyeefei-ccc,claudemarketplaces,plugins,L1,0.9953,0.0001,0.0002,0.0001,0.0078,7128,False
koreal6803-finlab-ai,claudemarketplaces,plugins,L3,0.9977,0.0155,0.9953,0.0086,0.8746,750,False
avdlee-swift-testing-agent-skill,claudemarketplaces,plugins,L0,0.9987,0.0007,0.0006,0.0014,0.0015,8192,False
notedit-happy-skills,claudemarketplaces,plugins,L1,0.9908,0.0001,0.0002,0.0002,0.0047,2475,False
zippoxer-subtask,claudemarketplaces,plugins,L2,0.9599,0.0031,0.0355,0.0100,0.2212,3812,False
makenotion-claude-code-notion-plugin,claudemarketplaces,plugins,L0,0.7975,0.0002,0.0001,0.0008,0.0022,2749,False
astronomer-agents,claudemarketplaces,plugins,L1,0.9980,0.0001,0.0002,0.0009,0.0115,8192,False
defendend-claude-ast-index-search,claudemarketplaces,plugins,L1,0.8314,0.0004,0.0005,0.0017,0.0065,8192,False
ntcoding-claude-skillz,claudemarketplaces,plugins,L1,0.9984,0.0003,0.0005,0.0005,0.0043,6648,False
anthropics-life-sciences,claudemarketplaces,plugins,L1,0.9900,0.0004,0.0002,0.0002,0.5986,5977,False
