slug,source,substrate,pi_probability,pi_label,content_len,defender_positive
dbt-labs-dbt-agent-skills,claudemarketplaces,plugins,0.0000,0,5981,False
lijigang-ljg-skill-xray-book,claudemarketplaces,plugins,0.0004,0,690,False
sinotrade-shioaji,claudemarketplaces,plugins,0.0094,0,6000,False
humanplane-homunculus,claudemarketplaces,plugins,0.0001,0,6000,False
memvid-claude-brain,claudemarketplaces,plugins,0.1400,0,3756,False
levnikolaevich-claude-code-skills,claudemarketplaces,plugins,0.0006,0,6000,False
obra-episodic-memory,claudemarketplaces,plugins,0.0000,0,6000,False
trailofbits-skills-curated,claudemarketplaces,plugins,0.0000,0,6000,False
ooiyeefei-ccc,claudemarketplaces,plugins,0.0000,0,6000,False
koreal6803-finlab-ai,claudemarketplaces,plugins,0.0028,0,750,False
avdlee-swift-testing-agent-skill,claudemarketplaces,plugins,0.0000,0,6000,False
notedit-happy-skills,claudemarketplaces,plugins,0.9245,1,2475,False
zippoxer-subtask,claudemarketplaces,plugins,0.0005,0,3812,False
makenotion-claude-code-notion-plugin,claudemarketplaces,plugins,0.0000,0,2749,False
astronomer-agents,claudemarketplaces,plugins,0.0001,0,6000,False
defendend-claude-ast-index-search,claudemarketplaces,plugins,0.0001,0,6000,False
ntcoding-claude-skillz,claudemarketplaces,plugins,0.0000,0,6000,False
anthropics-life-sciences,claudemarketplaces,plugins,0.0001,0,5977,False
jaganpro-sf-skills,claudemarketplaces,plugins,0.0001,0,6000,False
alonw0-web-asset-generator,claudemarketplaces,plugins,0.0009,0,6000,False
palkan-skills,claudemarketplaces,plugins,0.0000,0,3028,False
davidfowl-dotnet-skillz,claudemarketplaces,plugins,0.0000,0,1430,False
shinpr-claude-code-workflows,claudemarketplaces,plugins,0.0005,0,6000,False
tzachbon-smart-ralph,claudemarketplaces,plugins,0.0270,0,6000,False
iamzhihuix-happy-claude-skills,claudemarketplaces,plugins,0.0000,0,6000,False
umputun-cc-thingz,claudemarketplaces,plugins,0.0000,0,6000,False
emsi-mymanus,claudemarketplaces,plugins,0.0052,0,1993,False
sudocode-ai-sudocode,claudemarketplaces,plugins,0.9979,1,6000,False
kingbootoshi-codex-orchestrator,claudemarketplaces,plugins,0.0007,0,6000,False
partme-ai-full-stack-skills,claudemarketplaces,plugins,0.0068,0,6000,False
boshu2-agentops,claudemarketplaces,plugins,0.0021,0,6000,False
firecrawl-cli,claudemarketplaces,plugins,0.0001,0,6000,False
madappgang-claude-code,claudemarketplaces,plugins,0.0004,0,6000,False
lawvable-awesome-legal-skills,claudemarketplaces,plugins,0.8379,1,6000,False
rsmdt-the-startup,claudemarketplaces,plugins,0.9658,1,6000,False
mylukin-agent-foreman,claudemarketplaces,plugins,0.0106,0,5566,False
posit-dev-skills,claudemarketplaces,plugins,0.0000,0,6000,False
athola-claude-night-market,claudemarketplaces,plugins,0.0018,0,6000,False
paid-tw-skills,claudemarketplaces,plugins,0.0069,0,5890,False
intellectronica-agent-skills,claudemarketplaces,plugins,0.0152,0,6000,False
guo-yu-skills,claudemarketplaces,plugins,0.0010,0,2987,False
obra-superpowers-chrome,claudemarketplaces,plugins,0.0000,0,5806,False
fr33d3m0n-threat-modeling,claudemarketplaces,plugins,0.0012,0,6000,False
zxkane-aws-skills,claudemarketplaces,plugins,0.0000,0,6000,False
dcramer-dex,claudemarketplaces,plugins,0.0000,0,2093,False
railwayapp-railway-skills,claudemarketplaces,plugins,0.0000,0,2121,False
sveltejs-ai-tools,claudemarketplaces,plugins,0.0001,0,825,False
aws-solutions-library-samples-guidance-for-claude-code-with-amazon-bedrock,claudemarketplaces,plugins,0.0000,0,6000,False
scarletkc-vexor,claudemarketplaces,plugins,0.0245,0,6000,False
mbruhler-claude-orchestration,claudemarketplaces,plugins,0.0005,0,6000,False
astral-sh-claude-code-plugins,claudemarketplaces,plugins,0.0001,0,1805,False
claudekit-frontend-design-pro-demo,claudemarketplaces,plugins,0.0000,0,4022,False
cameronfreer-lean4-skills,claudemarketplaces,plugins,0.0000,0,6000,False
bowenliang123-markdown-exporter,claudemarketplaces,plugins,0.0184,0,6000,False
sanjay3290-ai-skills,claudemarketplaces,plugins,0.7795,1,6000,False
giuseppe-trisciuoglio-developer-kit,claudemarketplaces,plugins,0.0357,0,6000,False
johnrogers-claude-swift-engineering,claudemarketplaces,plugins,0.0001,0,6000,False
fumiya-kume-claude-code,claudemarketplaces,plugins,0.0000,0,4987,False
aannoo-hcom,claudemarketplaces,plugins,0.0058,0,6000,False
xiaolai-vmark,claudemarketplaces,plugins,0.0040,0,4481,False
croffasia-cc-blueprint-toolkit,claudemarketplaces,plugins,0.1048,0,6000,False
geekjourneyx-ai-daily-skill,claudemarketplaces,plugins,0.0157,0,5012,False
microsoft-github-copilot-for-azure,claudemarketplaces,plugins,0.0000,0,6000,False
melvynx-aiblueprint,claudemarketplaces,plugins,0.0020,0,5778,False
jpicklyk-task-orchestrator,claudemarketplaces,plugins,0.0000,0,6000,False
basnijholt-agent-cli,claudemarketplaces,plugins,0.0109,0,6000,False
bradleygolden-claude-marketplace-elixir,claudemarketplaces,plugins,0.0002,0,2430,False
hjertefolger-cortex,claudemarketplaces,plugins,0.0005,0,6000,False
better-auth-skills,claudemarketplaces,plugins,0.0000,0,18,False
