slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
thilinatlm-agent-skills,claudemarketplaces,plugins,L1,0.9246,0.0014,0.0072,0.0037,0.1075,1055,False
layer-fi-bookkeeper-skill,claudemarketplaces,plugins,L1,0.9673,0.0013,0.0028,0.0023,0.2780,1653,False
dominik-rehse-stdd,claudemarketplaces,plugins,L1,0.8538,0.0015,0.0043,0.0031,0.1098,2048,False
azusachino-harus-skills,claudemarketplaces,plugins,L1,0.8961,0.0016,0.0106,0.0073,0.1795,2048,False
sk8metalme-ai-agent-setup,claudemarketplaces,plugins,L3,0.8887,0.0207,0.7613,0.0363,0.8328,2048,False
ankish8-storybook-npm,claudemarketplaces,plugins,L0,0.7728,0.0016,0.0043,0.0028,0.0182,1762,False
eirenik0-log-analyzer,claudemarketplaces,plugins,L0,0.5113,0.0013,0.0034,0.0023,0.0472,2048,False
pluginagentmarketplace-custom-plugin-ios,claudemarketplaces,plugins,L1,0.9085,0.0017,0.0058,0.0038,0.1196,2048,False
mikegazzaruso-codemap,claudemarketplaces,plugins,L1,0.8720,0.0016,0.0116,0.0069,0.2553,2048,False
preferredcredit-pci-claude-code-toolbox,claudemarketplaces,plugins,L1,0.9146,0.0013,0.0026,0.0020,0.3110,626,False
1broseidon-marketplace,claudemarketplaces,plugins,L1,0.9510,0.0013,0.0078,0.0041,0.3930,2048,False
rickardp-blueprint-mode,claudemarketplaces,plugins,L1,0.7972,0.0019,0.0125,0.0063,0.0966,2048,False
weiwei-mao-hydrology-skills,claudemarketplaces,plugins,L1,0.8630,0.0017,0.0071,0.0058,0.3825,2048,False
omgpointless-aspy,claudemarketplaces,plugins,L1,0.7940,0.0015,0.0049,0.0035,0.1621,2048,False
lulzx-claude-code,claudemarketplaces,plugins,L1,0.8808,0.0026,0.0166,0.0082,0.8898,511,False
dobeutech-dobeu-claude-skills,claudemarketplaces,plugins,L0,0.9383,0.0024,0.0039,0.0030,0.0105,2048,False
birdcar-claude-plugins,claudemarketplaces,plugins,L1,0.8792,0.0015,0.0121,0.0070,0.4851,2048,False
meaningfy-ws-agent-skills,claudemarketplaces,plugins,L1,0.8524,0.0014,0.0036,0.0023,0.0985,2048,False
jordanburke-supabase-typed-query,claudemarketplaces,plugins,L0,0.9498,0.0036,0.0053,0.0039,0.0095,2048,False
mikeebuilds-diagnostic-playground,claudemarketplaces,plugins,L1,0.9529,0.0015,0.0042,0.0038,0.1853,2048,False
tanaka-naoki-japanese-creative-writing,claudemarketplaces,plugins,L1,0.6382,0.0018,0.0034,0.0024,0.0857,2048,False
jsai23-claude-tooling,claudemarketplaces,plugins,L1,0.8680,0.0018,0.0113,0.0044,0.1201,2048,False
chuggies510-feature-dev-harnessed,claudemarketplaces,plugins,L1,0.9453,0.0014,0.0073,0.0036,0.0818,2048,False
baeseokjae-claude-code-cockpit,claudemarketplaces,plugins,L1,0.7394,0.0017,0.0063,0.0037,0.0685,2048,False
zygi-bio_tool_skills,claudemarketplaces,plugins,L1,0.9974,0.0018,0.0042,0.0024,0.0257,600,False
